n=2,n=4,n=8,n=16,n=32,n=64,n=128,n=256,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768,n=65536,n=131072,n=262144,n=524288
0.0,0.5,0.25,0.1875,0.15625,0.140625,0.1328125,0.09375,0.091796875,0.0791015625,0.06982421875,0.056396484375,0.0498046875,0.0418701171875,0.036651611328125,0.0321197509765625,0.02843475341796875,0.0244903564453125,0.02147674560546875
0.5,0.5,0.375,0.375,0.34375,0.265625,0.21875,0.1953125,0.154296875,0.1337890625,0.10791015625,0.096435546875,0.083984375,0.072021484375,0.06396484375,0.0558319091796875,0.0488128662109375,0.042758941650390625,0.03687095642089844
0.0,0.5,0.25,0.1875,0.1875,0.125,0.109375,0.078125,0.078125,0.0703125,0.0625,0.051025390625,0.04833984375,0.0426025390625,0.037200927734375,0.032928466796875,0.02904510498046875,0.0252532958984375,0.021879196166992188
0.0,0.25,0.125,0.1875,0.15625,0.1875,0.125,0.125,0.1015625,0.08984375,0.0712890625,0.065673828125,0.0537109375,0.045654296875,0.039886474609375,0.0343017578125,0.02993011474609375,0.02632904052734375,0.02291107177734375
0.0,0.0,0.0,0.0625,0.09375,0.078125,0.0625,0.0546875,0.056640625,0.0498046875,0.04150390625,0.032470703125,0.0279541015625,0.02490234375,0.0223388671875,0.0193328857421875,0.01654052734375,0.014507293701171875,0.012432098388671875
0.5,0.25,0.25,0.125,0.125,0.140625,0.15625,0.125,0.103515625,0.087890625,0.07470703125,0.068359375,0.062255859375,0.05645751953125,0.04986572265625,0.043975830078125,0.03842926025390625,0.03354644775390625,0.028875350952148438
0.0,0.0,0.25,0.25,0.21875,0.1875,0.15625,0.15234375,0.126953125,0.1123046875,0.10595703125,0.095458984375,0.0877685546875,0.07763671875,0.068145751953125,0.0607147216796875,0.0527801513671875,0.045528411865234375,0.03963470458984375
0.0,0.5,0.375,0.1875,0.125,0.09375,0.09375,0.078125,0.083984375,0.068359375,0.06005859375,0.05224609375,0.0472412109375,0.0418701171875,0.036102294921875,0.0316162109375,0.02721405029296875,0.023468017578125,0.020671844482421875
0.0,0.0,0.0,0.0625,0.03125,0.03125,0.046875,0.02734375,0.029296875,0.025390625,0.0234375,0.017822265625,0.0174560546875,0.01519775390625,0.01361083984375,0.012176513671875,0.0104827880859375,0.0091552734375,0.007946014404296875
0.0,0.25,0.375,0.3125,0.21875,0.171875,0.15625,0.15625,0.107421875,0.0986328125,0.08154296875,0.06591796875,0.0599365234375,0.05096435546875,0.043609619140625,0.0367279052734375,0.0325927734375,0.028423309326171875,0.024518966674804688
0.5,0.25,0.25,0.1875,0.15625,0.109375,0.09375,0.0546875,0.0625,0.0595703125,0.052734375,0.0458984375,0.0404052734375,0.037109375,0.0311279296875,0.025909423828125,0.02228546142578125,0.019622802734375,0.017122268676757812
0.0,0.0,0.125,0.125,0.125,0.171875,0.1796875,0.1484375,0.134765625,0.1318359375,0.10595703125,0.0908203125,0.0794677734375,0.06884765625,0.06060791015625,0.0528411865234375,0.04686737060546875,0.04126739501953125,0.03587532043457031
0.0,0.0,0.0,0.0625,0.0625,0.078125,0.0546875,0.05078125,0.044921875,0.04296875,0.0322265625,0.0244140625,0.0213623046875,0.0184326171875,0.0164794921875,0.014984130859375,0.01369476318359375,0.011989593505859375,0.010448455810546875
0.0,0.0,0.0,0.0625,0.0625,0.046875,0.0390625,0.05078125,0.037109375,0.0390625,0.03369140625,0.02880859375,0.0260009765625,0.0225830078125,0.018890380859375,0.016021728515625,0.0140533447265625,0.012119293212890625,0.010583877563476562
0.0,0.0,0.125,0.125,0.09375,0.109375,0.09375,0.109375,0.09375,0.0908203125,0.083984375,0.073486328125,0.0596923828125,0.051513671875,0.044586181640625,0.039764404296875,0.03487396240234375,0.030162811279296875,0.026363372802734375
0.0,0.0,0.125,0.0625,0.0625,0.125,0.1171875,0.07421875,0.064453125,0.0732421875,0.0625,0.056640625,0.05029296875,0.04541015625,0.03900146484375,0.0335235595703125,0.0286865234375,0.0247955322265625,0.021791458129882812
0.0,0.0,0.0,0.0625,0.0625,0.078125,0.046875,0.0390625,0.05078125,0.0341796875,0.02978515625,0.0263671875,0.0230712890625,0.02197265625,0.019195556640625,0.0168914794921875,0.01462554931640625,0.0126190185546875,0.011077880859375
0.0,0.25,0.25,0.3125,0.1875,0.171875,0.1484375,0.1484375,0.125,0.111328125,0.08837890625,0.07861328125,0.063720703125,0.055419921875,0.047760009765625,0.04205322265625,0.03694915771484375,0.032001495361328125,0.027881622314453125
0.0,0.25,0.375,0.3125,0.34375,0.296875,0.2109375,0.171875,0.14453125,0.1201171875,0.10107421875,0.08740234375,0.0770263671875,0.0665283203125,0.05743408203125,0.0499114990234375,0.04360198974609375,0.03765869140625,0.03279685974121094
0.0,0.0,0.125,0.25,0.25,0.25,0.25,0.20703125,0.203125,0.17578125,0.15478515625,0.142578125,0.12060546875,0.10491943359375,0.09271240234375,0.082916259765625,0.07193756103515625,0.06269454956054688,0.05414009094238281
0.0,0.0,0.0,0.125,0.125,0.125,0.0703125,0.07421875,0.0546875,0.052734375,0.04638671875,0.0390625,0.033935546875,0.0311279296875,0.026580810546875,0.0229339599609375,0.02008819580078125,0.01761627197265625,0.015401840209960938
0.0,0.0,0.125,0.25,0.25,0.1875,0.1484375,0.1015625,0.078125,0.072265625,0.05419921875,0.04345703125,0.03955078125,0.03533935546875,0.0306396484375,0.0271453857421875,0.023529052734375,0.0207366943359375,0.018110275268554688
0.0,0.25,0.5,0.3125,0.1875,0.171875,0.15625,0.12890625,0.119140625,0.103515625,0.08544921875,0.072265625,0.061767578125,0.05377197265625,0.046844482421875,0.0406341552734375,0.03562164306640625,0.030956268310546875,0.026700973510742188
0.0,0.0,0.125,0.25,0.125,0.109375,0.09375,0.0703125,0.072265625,0.060546875,0.05419921875,0.04443359375,0.038330078125,0.0323486328125,0.028594970703125,0.02508544921875,0.02170562744140625,0.01871490478515625,0.016635894775390625
0.0,0.0,0.0,0.0,0.0625,0.078125,0.0703125,0.06640625,0.064453125,0.05859375,0.05126953125,0.046875,0.0386962890625,0.0338134765625,0.02984619140625,0.02734375,0.0242767333984375,0.021411895751953125,0.01871490478515625
0.0,0.25,0.25,0.25,0.25,0.203125,0.171875,0.15234375,0.1328125,0.1103515625,0.103515625,0.0908203125,0.082763671875,0.07147216796875,0.06243896484375,0.0548248291015625,0.0476837158203125,0.041217803955078125,0.03564643859863281
0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.0390625,0.025390625,0.021484375,0.0205078125,0.018798828125,0.016357421875,0.01220703125,0.010009765625,0.0085906982421875,0.00777435302734375,0.006633758544921875,0.0058727264404296875
0.0,0.25,0.375,0.5,0.375,0.3125,0.234375,0.203125,0.169921875,0.150390625,0.13134765625,0.11767578125,0.103271484375,0.08978271484375,0.07708740234375,0.066741943359375,0.0586395263671875,0.05084991455078125,0.04400062561035156
0.0,0.25,0.25,0.3125,0.25,0.203125,0.1953125,0.17578125,0.150390625,0.1298828125,0.10986328125,0.093017578125,0.0799560546875,0.069580078125,0.06103515625,0.0526580810546875,0.0457763671875,0.039630889892578125,0.034427642822265625
0.0,0.25,0.25,0.3125,0.21875,0.265625,0.234375,0.20703125,0.177734375,0.1748046875,0.16357421875,0.138427734375,0.123046875,0.109619140625,0.0972900390625,0.08502197265625,0.0737457275390625,0.06410980224609375,0.05612945556640625
0.0,0.0,0.125,0.125,0.125,0.109375,0.09375,0.1015625,0.080078125,0.078125,0.06884765625,0.06298828125,0.0528564453125,0.04638671875,0.040679931640625,0.0352325439453125,0.0303192138671875,0.026123046875,0.022853851318359375
0.0,0.0,0.125,0.1875,0.125,0.125,0.1640625,0.16015625,0.1328125,0.1064453125,0.0859375,0.069091796875,0.0595703125,0.04931640625,0.043701171875,0.038116455078125,0.034149169921875,0.029682159423828125,0.025562286376953125
0.5,0.5,0.5,0.3125,0.3125,0.21875,0.203125,0.2109375,0.181640625,0.1494140625,0.1298828125,0.112548828125,0.10107421875,0.08935546875,0.077056884765625,0.067169189453125,0.05902099609375,0.051666259765625,0.0449981689453125
0.5,0.25,0.125,0.1875,0.21875,0.203125,0.21875,0.1796875,0.15234375,0.12890625,0.11962890625,0.09912109375,0.087646484375,0.077880859375,0.067291259765625,0.05914306640625,0.05031585693359375,0.043132781982421875,0.03793525695800781
0.5,0.25,0.375,0.375,0.3125,0.1875,0.171875,0.16796875,0.15234375,0.13671875,0.11279296875,0.101806640625,0.087890625,0.0743408203125,0.06549072265625,0.056060791015625,0.04962158203125,0.043201446533203125,0.03741645812988281
