theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|6,num_1|1|1|1|1|2|2|3,num_1|1|1|1|1|2|5,num_1|1|1|1|1|3|4,num_1|1|1|1|1|7,num_1|1|1|1|2|2|2|2,num_1|1|1|1|2|2|4,num_1|1|1|1|2|3|3,num_1|1|1|1|2|6,num_1|1|1|1|3|5,num_1|1|1|1|4|4,num_1|1|1|1|8,num_1|1|1|2|2|2|3,num_1|1|1|2|2|5,num_1|1|1|2|3|4,num_1|1|1|2|7,num_1|1|1|3|3|3,num_1|1|1|3|6,num_1|1|1|4|5,num_1|1|1|9,num_1|1|2|2|2|2|2,num_1|1|2|2|2|4,num_1|1|2|2|3|3,num_1|1|2|2|6,num_1|1|2|3|5,num_1|1|2|4|4,num_1|1|2|8,num_1|1|3|3|4,num_1|1|3|7,num_1|1|4|6,num_1|1|5|5,num_1|1|10,num_1|2|2|2|2|3,num_1|2|2|2|5,num_1|2|2|3|4,num_1|2|2|7,num_1|2|3|3|3,num_1|2|3|6,num_1|2|4|5,num_1|2|9,num_1|3|3|5,num_1|3|4|4,num_1|3|8,num_1|4|7,num_1|5|6,num_1|11,num_2|2|2|2|2|2,num_2|2|2|2|4,num_2|2|2|3|3,num_2|2|2|6,num_2|2|3|5,num_2|2|4|4,num_2|2|8,num_2|3|3|4,num_2|3|7,num_2|4|6,num_2|5|5,num_2|10,num_3|3|3|3,num_3|3|6,num_3|4|5,num_3|9,num_4|4|4,num_4|8,num_5|7,num_6|6,num_12
9,9,220,220,100,28,36,4,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66
10,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,1,20,0,0,0,0,0,0,0,12,0,0,11,11,11,55,0,0,0,0,0,0,2,0,1,1,1,65,0,0,0,66,0,66,66,66,0
10,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,3,27,0,0,0,1,1,1,21,1,20,20,20,45,0,0,0,13,0,12,12,54,11,11,55,55,55,0,0,0,0,3,2,2,64,1,65,65,65,0,0,66,66,0,66,0,0,0,0
10,4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,6,6,32,0,3,3,28,3,27,27,36,0,1,1,22,21,21,44,20,45,45,45,0,0,14,13,53,12,54,54,0,55,55,0,0,0,0,0,4,3,63,64,64,0,65,0,0,0,0,66,0,0,0,0,0,0,0,0
10,5,66,0,0,0,0,0,0,0,0,0,0,15,0,10,10,35,0,6,6,33,32,32,28,3,29,28,35,27,36,36,0,1,23,22,43,44,44,0,45,0,0,0,0,15,52,53,0,54,0,0,0,0,0,0,0,0,0,6,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,66,0,0,0,0,0,0,21,0,15,15,36,10,36,35,21,6,34,33,27,28,28,0,30,34,35,0,36,0,0,0,25,42,43,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,66,0,0,0,0,28,21,35,15,37,36,15,37,20,21,0,36,26,27,0,0,0,0,33,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,66,0,0,36,28,32,36,10,39,14,15,0,19,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,66,0,45,27,34,6,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
