theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|1|1|1|8,num_1|1|1|1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|1|1|1|2|2|5,num_1|1|1|1|1|1|1|1|2|3|4,num_1|1|1|1|1|1|1|1|2|7,num_1|1|1|1|1|1|1|1|3|3|3,num_1|1|1|1|1|1|1|1|3|6,num_1|1|1|1|1|1|1|1|4|5,num_1|1|1|1|1|1|1|1|9,num_1|1|1|1|1|1|1|2|2|2|2|2,num_1|1|1|1|1|1|1|2|2|2|4,num_1|1|1|1|1|1|1|2|2|3|3,num_1|1|1|1|1|1|1|2|2|6,num_1|1|1|1|1|1|1|2|3|5,num_1|1|1|1|1|1|1|2|4|4,num_1|1|1|1|1|1|1|2|8,num_1|1|1|1|1|1|1|3|3|4,num_1|1|1|1|1|1|1|3|7,num_1|1|1|1|1|1|1|4|6,num_1|1|1|1|1|1|1|5|5,num_1|1|1|1|1|1|1|10,num_1|1|1|1|1|1|2|2|2|2|3,num_1|1|1|1|1|1|2|2|2|5,num_1|1|1|1|1|1|2|2|3|4,num_1|1|1|1|1|1|2|2|7,num_1|1|1|1|1|1|2|3|3|3,num_1|1|1|1|1|1|2|3|6,num_1|1|1|1|1|1|2|4|5,num_1|1|1|1|1|1|2|9,num_1|1|1|1|1|1|3|3|5,num_1|1|1|1|1|1|3|4|4,num_1|1|1|1|1|1|3|8,num_1|1|1|1|1|1|4|7,num_1|1|1|1|1|1|5|6,num_1|1|1|1|1|1|11,num_1|1|1|1|1|2|2|2|2|2|2,num_1|1|1|1|1|2|2|2|2|4,num_1|1|1|1|1|2|2|2|3|3,num_1|1|1|1|1|2|2|2|6,num_1|1|1|1|1|2|2|3|5,num_1|1|1|1|1|2|2|4|4,num_1|1|1|1|1|2|2|8,num_1|1|1|1|1|2|3|3|4,num_1|1|1|1|1|2|3|7,num_1|1|1|1|1|2|4|6,num_1|1|1|1|1|2|5|5,num_1|1|1|1|1|2|10,num_1|1|1|1|1|3|3|3|3,num_1|1|1|1|1|3|3|6,num_1|1|1|1|1|3|4|5,num_1|1|1|1|1|3|9,num_1|1|1|1|1|4|4|4,num_1|1|1|1|1|4|8,num_1|1|1|1|1|5|7,num_1|1|1|1|1|6|6,num_1|1|1|1|1|12,num_1|1|1|1|2|2|2|2|2|3,num_1|1|1|1|2|2|2|2|5,num_1|1|1|1|2|2|2|3|4,num_1|1|1|1|2|2|2|7,num_1|1|1|1|2|2|3|3|3,num_1|1|1|1|2|2|3|6,num_1|1|1|1|2|2|4|5,num_1|1|1|1|2|2|9,num_1|1|1|1|2|3|3|5,num_1|1|1|1|2|3|4|4,num_1|1|1|1|2|3|8,num_1|1|1|1|2|4|7,num_1|1|1|1|2|5|6,num_1|1|1|1|2|11,num_1|1|1|1|3|3|3|4,num_1|1|1|1|3|3|7,num_1|1|1|1|3|4|6,num_1|1|1|1|3|5|5,num_1|1|1|1|3|10,num_1|1|1|1|4|4|5,num_1|1|1|1|4|9,num_1|1|1|1|5|8,num_1|1|1|1|6|7,num_1|1|1|1|13,num_1|1|1|2|2|2|2|2|2|2,num_1|1|1|2|2|2|2|2|4,num_1|1|1|2|2|2|2|3|3,num_1|1|1|2|2|2|2|6,num_1|1|1|2|2|2|3|5,num_1|1|1|2|2|2|4|4,num_1|1|1|2|2|2|8,num_1|1|1|2|2|3|3|4,num_1|1|1|2|2|3|7,num_1|1|1|2|2|4|6,num_1|1|1|2|2|5|5,num_1|1|1|2|2|10,num_1|1|1|2|3|3|3|3,num_1|1|1|2|3|3|6,num_1|1|1|2|3|4|5,num_1|1|1|2|3|9,num_1|1|1|2|4|4|4,num_1|1|1|2|4|8,num_1|1|1|2|5|7,num_1|1|1|2|6|6,num_1|1|1|2|12,num_1|1|1|3|3|3|5,num_1|1|1|3|3|4|4,num_1|1|1|3|3|8,num_1|1|1|3|4|7,num_1|1|1|3|5|6,num_1|1|1|3|11,num_1|1|1|4|4|6,num_1|1|1|4|5|5,num_1|1|1|4|10,num_1|1|1|5|9,num_1|1|1|6|8,num_1|1|1|7|7,num_1|1|1|14,num_1|1|2|2|2|2|2|2|3,num_1|1|2|2|2|2|2|5,num_1|1|2|2|2|2|3|4,num_1|1|2|2|2|2|7,num_1|1|2|2|2|3|3|3,num_1|1|2|2|2|3|6,num_1|1|2|2|2|4|5,num_1|1|2|2|2|9,num_1|1|2|2|3|3|5,num_1|1|2|2|3|4|4,num_1|1|2|2|3|8,num_1|1|2|2|4|7,num_1|1|2|2|5|6,num_1|1|2|2|11,num_1|1|2|3|3|3|4,num_1|1|2|3|3|7,num_1|1|2|3|4|6,num_1|1|2|3|5|5,num_1|1|2|3|10,num_1|1|2|4|4|5,num_1|1|2|4|9,num_1|1|2|5|8,num_1|1|2|6|7,num_1|1|2|13,num_1|1|3|3|3|3|3,num_1|1|3|3|3|6,num_1|1|3|3|4|5,num_1|1|3|3|9,num_1|1|3|4|4|4,num_1|1|3|4|8,num_1|1|3|5|7,num_1|1|3|6|6,num_1|1|3|12,num_1|1|4|4|7,num_1|1|4|5|6,num_1|1|4|11,num_1|1|5|5|5,num_1|1|5|10,num_1|1|6|9,num_1|1|7|8,num_1|1|15,num_1|2|2|2|2|2|2|2|2,num_1|2|2|2|2|2|2|4,num_1|2|2|2|2|2|3|3,num_1|2|2|2|2|2|6,num_1|2|2|2|2|3|5,num_1|2|2|2|2|4|4,num_1|2|2|2|2|8,num_1|2|2|2|3|3|4,num_1|2|2|2|3|7,num_1|2|2|2|4|6,num_1|2|2|2|5|5,num_1|2|2|2|10,num_1|2|2|3|3|3|3,num_1|2|2|3|3|6,num_1|2|2|3|4|5,num_1|2|2|3|9,num_1|2|2|4|4|4,num_1|2|2|4|8,num_1|2|2|5|7,num_1|2|2|6|6,num_1|2|2|12,num_1|2|3|3|3|5,num_1|2|3|3|4|4,num_1|2|3|3|8,num_1|2|3|4|7,num_1|2|3|5|6,num_1|2|3|11,num_1|2|4|4|6,num_1|2|4|5|5,num_1|2|4|10,num_1|2|5|9,num_1|2|6|8,num_1|2|7|7,num_1|2|14,num_1|3|3|3|3|4,num_1|3|3|3|7,num_1|3|3|4|6,num_1|3|3|5|5,num_1|3|3|10,num_1|3|4|4|5,num_1|3|4|9,num_1|3|5|8,num_1|3|6|7,num_1|3|13,num_1|4|4|4|4,num_1|4|4|8,num_1|4|5|7,num_1|4|6|6,num_1|4|12,num_1|5|5|6,num_1|5|11,num_1|6|10,num_1|7|9,num_1|8|8,num_1|16,num_2|2|2|2|2|2|2|3,num_2|2|2|2|2|2|5,num_2|2|2|2|2|3|4,num_2|2|2|2|2|7,num_2|2|2|2|3|3|3,num_2|2|2|2|3|6,num_2|2|2|2|4|5,num_2|2|2|2|9,num_2|2|2|3|3|5,num_2|2|2|3|4|4,num_2|2|2|3|8,num_2|2|2|4|7,num_2|2|2|5|6,num_2|2|2|11,num_2|2|3|3|3|4,num_2|2|3|3|7,num_2|2|3|4|6,num_2|2|3|5|5,num_2|2|3|10,num_2|2|4|4|5,num_2|2|4|9,num_2|2|5|8,num_2|2|6|7,num_2|2|13,num_2|3|3|3|3|3,num_2|3|3|3|6,num_2|3|3|4|5,num_2|3|3|9,num_2|3|4|4|4,num_2|3|4|8,num_2|3|5|7,num_2|3|6|6,num_2|3|12,num_2|4|4|7,num_2|4|5|6,num_2|4|11,num_2|5|5|5,num_2|5|10,num_2|6|9,num_2|7|8,num_2|15,num_3|3|3|3|5,num_3|3|3|4|4,num_3|3|3|8,num_3|3|4|7,num_3|3|5|6,num_3|3|11,num_3|4|4|6,num_3|4|5|5,num_3|4|10,num_3|5|9,num_3|6|8,num_3|7|7,num_3|14,num_4|4|4|5,num_4|4|9,num_4|5|8,num_4|6|7,num_4|13,num_5|5|7,num_5|6|6,num_5|12,num_6|11,num_7|10,num_8|9,num_17
7,2,19448,0,0,0,0,0,0,0,0,0,0,11,0,1,1,70,0,0,0,17,8,8,252,0,2,1,91,0,44,36,672,0,0,0,23,9,8,308,2,168,127,120,1470,0,3,1,112,0,50,37,798,16,10,490,371,336,2772,0,0,0,29,10,8,364,2,189,133,122,1722,0,77,45,1176,24,924,826,802,4620,0,4,1,133,0,56,38,924,17,10,546,392,343,3234,3,266,161,136,2436,80,2016,1820,1747,6864,0,0,0,35,11,8,420,2,210,139,124,1974,0,83,46,1302,24,980,848,814,5412,24,12,728,470,377,4488,251,192,3942,3648,3511,3472,9009,0,5,1,154,0,62,39,1050,18,10,602,413,350,3696,3,287,167,138,2688,81,2142,1877,1774,8151,0,110,54,1680,27,1163,932,868,7491,680,488,7029,360,6735,6569,6496,10010,0,0,0,41,12,8,476,2,231,145,126,2226,0,89,47,1428,24,1036,870,826,6204,25,12,784,491,384,4950,257,194,4194,3775,3573,3514,11011,4,364,195,152,3402,90,2521,2066,1878,11440,48,1604,1163,1034,11572,781,11572,11531,11494,11480,8008,0,6,1,175,0,68,40,1176,19,10,658,434,357,4158,3,308,173,140,2940,82,2268,1934,1801,9438,0,116,55,1806,27,1219,954,880,8283,701,495,7491,363,6988,6701,6573,13013,32,14,966,569,418,6204,286,209,4909,4160,3782,3668,16016,132,3368,2528,2164,17732,1702,1452,18656,19118,19327,19404,0
7,3,19448,0,0,0,0,0,0,66,0,11,11,330,1,115,70,945,0,26,17,459,288,252,2016,3,174,99,1204,60,832,700,3528,0,45,25,608,377,322,2450,223,1862,1589,1512,5292,6,243,133,1498,78,1036,860,4158,671,572,3444,3045,2871,6930,0,68,35,777,477,400,2940,276,2247,1909,1810,6090,174,1615,1352,5460,1188,5040,4805,4730,7920,10,322,172,1827,99,1261,1034,4872,806,678,4074,3609,3399,7788,486,3231,2791,2656,7536,2426,7284,7094,6994,7722,0,95,47,966,588,486,3486,335,2668,2253,2128,7008,210,1900,1570,6378,1365,5933,5673,5588,8613,1242,1047,5555,5040,4795,9009,4540,4380,9135,9138,9108,9093,6006,15,411,216,2191,123,1507,1222,5670,953,793,4761,4212,3957,8811,569,3748,3204,3034,8739,2745,8573,8417,8327,7865,380,2706,2237,8375,1938,8050,7834,7759,8954,7665,7464,9548,7338,9843,9972,10017,3003,0,126,61,1175,710,580,4088,400,3125,2621,2466,8046,250,2207,1803,7381,1554,6886,6586,6486,9526,1429,1195,6387,5748,5438,10417,5099,4889,10844,11017,11071,11081,5005,886,5079,4346,4111,11141,3688,11446,11544,11563,6292,3240,11676,11739,11748,7084,11792,7546,7797,7917,7952,0,21,510,265,2590,150,1774,1424,6552,1112,917,5505,4854,4545,9999,659,4302,3642,3433,10063,3082,9950,9806,9715,8294,440,3078,2519,9587,2169,9157,8868,8767,10373,8582,8283,11627,8085,12340,12711,12866,0,2028,1704,8376,7559,7150,12914,6622,6314,14419,15252,15658,15778,0,5676,16044,16912,17283,0,17745,17996,0,0,0,0,0
7,4,19448,0,0,0,0,286,66,1100,11,495,330,2475,160,1500,1065,4200,44,750,531,3060,2400,2184,5880,293,1960,1448,4900,1152,4200,3836,7056,110,1062,788,3710,2996,2758,6566,2408,6076,5726,5600,7350,476,2491,1905,5656,1557,4971,4605,7560,4270,4030,7490,7335,7225,6600,220,1442,1112,4436,3680,3424,7280,3034,6905,6610,6500,7500,2628,6390,6095,7920,5910,8070,8100,8100,4950,720,3104,2447,6479,2046,5835,5480,8040,5131,4886,8186,8160,8110,6270,4477,8156,8050,8000,7050,7944,7474,7680,7760,2860,385,1901,1514,5249,4463,4193,8033,3762,7818,7605,7520,7545,3306,7416,7168,8238,7005,8573,8710,8745,4125,6872,6674,8842,9108,9200,4950,9329,9386,5461,5756,5905,5950,1001,1036,3810,3085,7380,2630,6803,6472,8507,6108,5862,8938,9087,9120,5720,5415,9183,9228,9226,6726,9238,7323,7646,7785,1716,4920,9207,9158,7818,9111,8443,8756,8850,2211,9058,9326,2541,9500,2750,2871,2926,0,616,2450,2005,6160,5356,5076,8836,4603,8826,8722,8671,7496,4096,8563,8375,8560,8238,9150,9436,9520,2926,8067,7881,9617,10170,10401,3751,10668,10815,4290,4620,4796,4851,0,7434,10602,11073,11210,4785,11450,5445,5830,6006,0,11680,6160,6545,6666,0,6875,0,0,0,0,0,1435,4620,3830,8370,3320,7886,7592,8972,7212,6969,9757,10127,10266,4961,6483,10322,10545,10600,6325,10684,7194,7700,7931,0,5940,10557,10604,8019,10596,9064,9625,9801,0,10164,10670,0,11000,0,0,0,0,10368,10278,10098,11319,11880,0,12540,12925,0,0,0,0,0,13640,0,0,0,0,0,0,0,0,0,0,0
7,5,19448,0,0,1001,286,2860,1595,4950,825,3630,3135,6600,2385,5700,5130,7350,1584,4524,4080,7140,6846,6720,7056,3338,6496,6062,7546,5754,7686,7700,5880,2530,5509,5131,7651,7560,7504,6860,7399,7385,7630,7700,4200,4421,7305,7028,7650,6807,8010,8140,5340,8255,8315,6055,6465,6650,2475,3630,6552,6255,8100,8230,8250,6530,8250,7230,7590,7700,3450,8210,7880,8165,4115,8340,4540,4775,4850,1100,5601,8094,7995,7629,7876,8215,8464,4654,8690,8829,5445,5919,6140,1705,9019,6285,6745,6891,2141,7130,2440,2626,2715,286,4851,7620,7419,8454,8823,8925,6033,9045,6893,7359,7506,2581,9128,7745,8137,3197,8382,3602,3831,3905,506,8529,8775,3919,4367,4581,671,4800,4940,790,870,916,931,0,6845,8830,8930,7450,8928,8268,8639,3789,8991,9215,4611,5119,5361,891,9546,5536,6057,6225,1175,6504,1374,1500,1561,0,9855,6534,7009,1539,7316,1784,1925,1971,0,2044,2170,0,2250,0,0,0,0,6160,8680,8590,8680,9306,9496,5336,9751,6341,6904,7085,1560,9972,7401,7903,2043,8224,2368,2555,2616,0,8442,8776,2652,3038,3225,0,3424,3550,0,0,0,0,0,9342,3402,3834,3975,0,4220,0,0,0,0,4480,0,0,0,0,0,0,0,0,0,0,8120,9480,9800,7080,9930,8136,8632,2712,9125,9440,3520,4032,4280,0,9927,4515,5088,5275,0,5600,0,0,0,0,10395,5697,6270,0,6656,0,0,0,0,0,0,0,0,0,0,0,0,7020,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,19448,0,3003,6006,5434,7722,7623,7920,7326,8514,8712,6930,8760,8022,8568,5292,8712,8904,9198,6552,7308,7560,3528,9450,7812,8442,4662,8820,5418,5796,2016,9625,8925,9296,5957,6734,6993,2849,7392,3444,3801,3920,945,9726,7323,8006,3908,8430,4614,4967,1437,5316,5550,1806,2052,2175,330,10098,8610,9039,5178,5940,6194,2130,6603,2625,2922,3021,546,7032,3171,3444,714,3618,834,906,930,66,9621,6588,7293,3063,7744,3685,3996,886,4321,4533,1141,1311,1396,121,4896,1446,1629,1690,165,1788,198,220,231,0,10164,7992,8460,4248,4959,5196,1404,5596,1774,1996,2070,220,6021,2196,2407,297,2544,352,385,396,0,2646,2796,396,462,495,0,528,550,0,0,0,0,0,9168,5640,6336,2160,6795,2664,2916,396,3198,3376,528,616,660,0,3699,693,792,825,0,880,0,0,0,0,4050,891,990,0,1056,0,0,0,0,0,0,0,0,0,0,0,0,9856,7104,7592,3200,3824,4032,704,4404,924,1056,1100,0,4806,1188,1320,0,1408,0,0,0,0,1485,1584,0,0,0,0,0,0,0,0,0,0,0,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,4512,5168,1232,5616,1584,1760,0,1980,2112,0,0,0,0,2376,0,0,0,0,0,0,0,0,0,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,19448,19448,16445,12441,13728,8580,10164,5412,11286,6798,7260,3102,8142,4110,4614,1590,9108,5244,5622,2220,2598,2724,708,6364,3004,3396,1044,3662,1268,1380,260,7183,3907,4208,1499,1772,1863,407,2024,512,575,596,71,4819,2083,2375,623,2576,767,839,119,920,971,155,179,191,11,5500,2776,3007,928,1111,1172,196,1283,251,284,295,20,1404,315,347,27,368,32,35,36,0,3496,1336,1540,316,1683,396,436,36,483,512,48,56,60,0,567,63,72,75,0,80,0,0,0,0,4048,1840,2008,496,604,640,64,708,84,96,100,0,783,108,120,0,128,0,0,0,0,135,144,0,0,0,0,0,0,0,0,0,0,0,2384,752,880,112,972,144,160,0,180,192,0,0,0,0,216,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2816,1088,1200,192,240,256,0,288,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,320,384,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,24310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,45,0,9,1,0,1287,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,1,0,0,165,0,0,45,9,1,0,3003,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,45,0,9,1,0,1287,0,0,0,9,0,1,0,0,495,0,0,165,0,45,9,1,6435,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,1,0,0,165,0,0,45,9,1,0,3003,0,0,0,0,45,0,9,1,0,1287,0,1,0,0,495,0,165,45,9,2,12870,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,45,0,9,1,0,1287,0,0,0,9,0,1,0,0,495,0,0,165,0,45,9,1,6435,0,0,1,0,0,165,0,0,45,9,1,0,3003,0,9,1,0,1287,0,0,495,165,45,10,24310
8,2,24310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,1,72,0,0,0,17,0,9,9,288,0,0,0,2,1,1,100,0,52,45,45,840,0,0,0,24,0,10,9,372,2,1,212,171,165,1980,0,0,0,3,1,1,128,0,59,46,45,1050,0,18,10,666,3,534,500,495,3960,0,0,0,31,0,11,9,456,2,1,240,178,166,2442,0,94,54,47,1722,19,1422,1318,1291,6864,0,0,0,4,1,1,156,0,66,47,45,1260,0,19,10,750,3,562,507,497,4884,3,1,352,213,175,3828,91,63,3318,3102,3026,3009,10296,0,0,0,38,0,12,9,540,2,1,268,185,167,2904,0,101,55,47,1932,19,1506,1346,1299,8580,0,27,11,1044,3,674,543,513,7524,333,219,6930,135,6630,6498,6452,12870,0,0,0,5,1,1,184,0,73,48,45,1470,0,20,10,834,3,590,514,499,5808,3,1,380,220,176,4290,92,63,3528,3186,3055,3023,13299,0,136,63,49,2604,20,1800,1459,1342,13299,6,997,670,585,13167,375,13035,12945,12898,12884,11440,0,0,0,45,0,13,9,624,2,1,296,192,168,3366,0,108,56,47,2142,19,1590,1374,1307,10296,0,28,11,1128,3,702,550,515,8448,340,220,7392,135,6840,6583,6487,17875,4,1,492,255,185,5676,100,65,4200,3481,3175,3093,21307,30,2557,1789,1497,23023,1035,825,23815,24145,24265,24300,0
8,3,24310,0,0,0,0,0,0,0,0,0,0,55,0,10,10,315,0,1,1,108,72,72,1008,0,25,17,476,9,316,288,2352,0,3,2,176,107,100,1372,59,980,861,840,4410,0,45,25,672,12,434,378,3024,259,224,2352,2079,1995,6930,0,6,3,259,147,130,1806,74,1281,1099,1060,5460,36,847,710,4620,612,4200,4025,3980,9240,0,70,34,903,15,567,474,3822,320,266,2982,2611,2483,8316,156,2191,1867,1784,7644,1588,7224,7000,6908,10296,0,10,4,357,192,162,2310,90,1617,1353,1290,6720,42,1031,832,5754,696,5236,5001,4936,10692,570,454,4690,4161,3953,10692,3659,3516,10566,10440,10359,10332,9009,0,100,44,1169,18,715,576,4746,386,310,3682,3179,2991,10032,180,2633,2177,2054,9444,1786,9024,8774,8662,11154,90,1657,1286,8562,1038,8018,7737,7652,12210,7443,7189,12672,7020,12840,12883,12887,5005,0,15,5,470,242,196,2884,107,1988,1623,1530,8190,48,1230,960,7014,783,6343,6017,5922,12639,658,511,5587,4840,4531,13233,4110,3896,13401,13402,13366,13349,8008,310,3957,3182,2958,13533,2492,13534,13456,13399,9724,2016,13456,13357,13317,10648,13275,11110,11320,11403,11424,0,0,135,55,1470,21,878,684,5796,457,356,4452,3783,3519,12078,205,3110,2503,2334,11454,1991,10951,10623,10466,12727,100,1908,1441,10159,1143,9327,8878,8738,15367,8374,7942,16753,7650,17425,17718,17822,0,1014,771,8031,6828,6296,18469,5542,5150,20065,20820,21134,21217,0,4296,21744,22520,22813,0,23275,23485,0,0,0,0,0
8,4,24310,0,0,0,0,0,0,220,0,55,55,990,10,435,315,2520,1,144,108,1476,1092,1008,4704,33,720,504,3332,372,2660,2408,7056,5,273,190,2072,1547,1414,5782,1141,4998,4599,4480,8820,73,1085,755,4284,558,3486,3158,8190,2759,2550,7630,7245,7055,9240,15,449,307,2793,2112,1924,7000,1571,6195,5750,5610,9660,1239,5330,4935,9660,4680,9520,9390,9340,7920,135,1541,1077,5397,801,4477,4072,9408,3597,3332,9016,8686,8506,9372,2847,8434,8054,7924,10044,7724,10296,10356,10356,5148,35,680,466,3655,2800,2550,8386,2100,7605,7135,6980,10440,1665,6684,6239,10818,5949,10877,10837,10812,7029,5698,5383,11003,10962,10897,8085,10896,10856,8631,8884,8984,9009,2002,225,2100,1480,6693,1110,5651,5166,10746,4594,4264,10636,10427,10287,9174,3652,10258,9949,9834,10314,9665,10861,11089,11164,3289,3025,9612,9253,11455,9009,11977,12180,12230,4081,12474,12652,4543,12780,4795,4920,4970,0,70,975,675,4675,3625,3305,9969,2740,9252,8775,8610,11205,2185,8267,7765,12178,7428,12576,12704,12729,5368,7089,6702,13002,13300,13378,6622,13548,13601,7336,7713,7888,7938,0,5883,13602,13775,13803,8128,13898,8967,9394,9569,0,13968,9856,10283,10408,0,10660,0,0,0,0,0,350,2775,1975,8195,1495,7027,6457,12241,5766,5361,12521,12495,12423,8701,4602,12377,12151,12054,10669,11900,11760,12312,12537,0,3825,11709,11308,13014,11004,14280,14882,15057,0,15596,16148,0,16525,0,0,0,0,10467,10038,15786,17227,17829,0,18668,19095,0,0,0,0,0,19984,0,0,0,0,0,0,0,0,0,0,0
8,5,24310,0,0,0,0,715,220,2475,55,1320,990,4950,555,3450,2730,7350,216,2070,1644,6090,5250,4956,8820,1048,4550,3766,8330,3276,7770,7420,8820,530,2996,2492,7280,6510,6230,9310,5810,9310,9170,9100,7350,1738,5790,4990,9240,4470,8910,8660,8610,8470,8290,9170,9360,9400,4950,1040,4125,3565,8515,7890,7650,9590,7275,9915,9960,9950,6450,6840,10095,10090,7290,10095,7715,7900,7950,2475,2660,7181,6421,10051,5901,10035,9930,8070,9869,9774,8914,9300,9440,3630,9613,9719,10060,10150,4350,10351,4771,4995,5090,715,1785,5480,4890,9786,9393,9223,9603,8935,10313,10585,10650,5175,8572,10909,11106,6106,11238,6626,6880,6955,1210,11361,11468,7136,7686,7920,1540,8216,8375,1750,1875,1940,1960,0,3845,8730,8074,10730,7588,11128,11221,7111,11347,11375,8227,8811,9055,2035,11397,9407,9981,10150,2575,10480,2910,3100,3185,0,11340,10611,11120,3240,11460,3640,3850,3915,0,4060,4250,0,4375,0,0,0,0,2800,7080,6490,11080,11018,10952,9288,10797,10463,11016,11175,3400,10548,11607,12075,4275,12384,4800,5075,5160,0,12645,12944,5340,5950,6225,0,6560,6750,0,0,0,0,0,13473,6615,7290,7500,0,7900,0,0,0,0,8320,0,0,0,0,0,0,0,0,0,0,5320,10440,9960,11240,9546,12168,12520,5640,12895,13088,7040,7840,8200,0,13347,8715,9600,9875,0,10400,0,0,0,0,13500,10665,11550,0,12160,0,0,0,0,0,0,0,0,0,0,0,0,12825,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,24310,0,0,2002,715,5148,3267,7920,1980,6468,5874,9240,4842,8820,8400,8820,3636,7854,7434,9450,9576,9576,7056,6580,9590,9478,8330,9366,8946,9184,4704,5530,9177,8953,9415,9856,9968,6076,10171,6881,7294,7420,2520,8340,10125,10325,7575,10413,8391,8744,3564,9147,9374,4242,4644,4830,990,7515,10314,10302,9060,9781,9993,4901,10361,5731,6179,6320,1545,10714,6607,7010,1930,7272,2180,2320,2365,220,9987,10326,10830,6516,11122,7456,7885,2365,8377,8665,2917,3255,3415,385,9183,3557,3915,4030,505,4228,588,640,665,0,9450,11148,11358,8316,9264,9558,3534,10077,4289,4710,4845,670,10602,5127,5523,873,5784,1008,1085,1110,0,6003,6284,1128,1288,1365,0,1448,1500,0,0,0,0,0,11392,10100,10888,5120,11382,6084,6538,1158,7081,7400,1496,1708,1810,0,8001,1911,2148,2225,0,2360,0,0,0,0,8640,2403,2640,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,11200,11568,12004,7120,8224,8576,1984,9226,2534,2848,2950,0,9909,3186,3500,0,3712,0,0,0,0,3915,4152,0,0,0,0,0,0,0,0,0,0,0,4644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12432,9360,10400,3360,11088,4224,4640,0,5190,5504,0,0,0,0,6156,0,0,0,0,0,0,0,0,0,6885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
