theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|1|8,num_1|1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|1|2|2|5,num_1|1|1|1|1|1|2|3|4,num_1|1|1|1|1|1|2|7,num_1|1|1|1|1|1|3|3|3,num_1|1|1|1|1|1|3|6,num_1|1|1|1|1|1|4|5,num_1|1|1|1|1|1|9,num_1|1|1|1|1|2|2|2|2|2,num_1|1|1|1|1|2|2|2|4,num_1|1|1|1|1|2|2|3|3,num_1|1|1|1|1|2|2|6,num_1|1|1|1|1|2|3|5,num_1|1|1|1|1|2|4|4,num_1|1|1|1|1|2|8,num_1|1|1|1|1|3|3|4,num_1|1|1|1|1|3|7,num_1|1|1|1|1|4|6,num_1|1|1|1|1|5|5,num_1|1|1|1|1|10,num_1|1|1|1|2|2|2|2|3,num_1|1|1|1|2|2|2|5,num_1|1|1|1|2|2|3|4,num_1|1|1|1|2|2|7,num_1|1|1|1|2|3|3|3,num_1|1|1|1|2|3|6,num_1|1|1|1|2|4|5,num_1|1|1|1|2|9,num_1|1|1|1|3|3|5,num_1|1|1|1|3|4|4,num_1|1|1|1|3|8,num_1|1|1|1|4|7,num_1|1|1|1|5|6,num_1|1|1|1|11,num_1|1|1|2|2|2|2|2|2,num_1|1|1|2|2|2|2|4,num_1|1|1|2|2|2|3|3,num_1|1|1|2|2|2|6,num_1|1|1|2|2|3|5,num_1|1|1|2|2|4|4,num_1|1|1|2|2|8,num_1|1|1|2|3|3|4,num_1|1|1|2|3|7,num_1|1|1|2|4|6,num_1|1|1|2|5|5,num_1|1|1|2|10,num_1|1|1|3|3|3|3,num_1|1|1|3|3|6,num_1|1|1|3|4|5,num_1|1|1|3|9,num_1|1|1|4|4|4,num_1|1|1|4|8,num_1|1|1|5|7,num_1|1|1|6|6,num_1|1|1|12,num_1|1|2|2|2|2|2|3,num_1|1|2|2|2|2|5,num_1|1|2|2|2|3|4,num_1|1|2|2|2|7,num_1|1|2|2|3|3|3,num_1|1|2|2|3|6,num_1|1|2|2|4|5,num_1|1|2|2|9,num_1|1|2|3|3|5,num_1|1|2|3|4|4,num_1|1|2|3|8,num_1|1|2|4|7,num_1|1|2|5|6,num_1|1|2|11,num_1|1|3|3|3|4,num_1|1|3|3|7,num_1|1|3|4|6,num_1|1|3|5|5,num_1|1|3|10,num_1|1|4|4|5,num_1|1|4|9,num_1|1|5|8,num_1|1|6|7,num_1|1|13,num_1|2|2|2|2|2|2|2,num_1|2|2|2|2|2|4,num_1|2|2|2|2|3|3,num_1|2|2|2|2|6,num_1|2|2|2|3|5,num_1|2|2|2|4|4,num_1|2|2|2|8,num_1|2|2|3|3|4,num_1|2|2|3|7,num_1|2|2|4|6,num_1|2|2|5|5,num_1|2|2|10,num_1|2|3|3|3|3,num_1|2|3|3|6,num_1|2|3|4|5,num_1|2|3|9,num_1|2|4|4|4,num_1|2|4|8,num_1|2|5|7,num_1|2|6|6,num_1|2|12,num_1|3|3|3|5,num_1|3|3|4|4,num_1|3|3|8,num_1|3|4|7,num_1|3|5|6,num_1|3|11,num_1|4|4|6,num_1|4|5|5,num_1|4|10,num_1|5|9,num_1|6|8,num_1|7|7,num_1|14,num_2|2|2|2|2|2|3,num_2|2|2|2|2|5,num_2|2|2|2|3|4,num_2|2|2|2|7,num_2|2|2|3|3|3,num_2|2|2|3|6,num_2|2|2|4|5,num_2|2|2|9,num_2|2|3|3|5,num_2|2|3|4|4,num_2|2|3|8,num_2|2|4|7,num_2|2|5|6,num_2|2|11,num_2|3|3|3|4,num_2|3|3|7,num_2|3|4|6,num_2|3|5|5,num_2|3|10,num_2|4|4|5,num_2|4|9,num_2|5|8,num_2|6|7,num_2|13,num_3|3|3|3|3,num_3|3|3|6,num_3|3|4|5,num_3|3|9,num_3|4|4|4,num_3|4|8,num_3|5|7,num_3|6|6,num_3|12,num_4|4|7,num_4|5|6,num_4|11,num_5|5|5,num_5|10,num_6|9,num_7|8,num_15
7,3,6435,0,0,0,0,0,0,45,0,9,9,216,1,84,56,588,0,22,15,315,217,196,1176,3,133,83,777,54,588,519,1890,0,39,23,434,296,262,1470,193,1225,1105,1070,2520,6,192,115,1001,72,762,667,2268,548,488,2072,1946,1886,2772,0,60,33,573,386,336,1820,244,1540,1393,1348,2898,162,1239,1107,2898,1020,2856,2817,2802,2376,10,261,152,1260,93,957,829,2730,673,590,2562,2438,2374,2970,438,2312,2163,2114,3264,2029,3390,3433,3443,1287,0,85,45,732,487,418,2226,301,1891,1705,1646,3396,198,1494,1313,3564,1191,3607,3605,3600,2079,1065,933,3649,3647,3630,2541,3630,3618,2793,2919,2974,2989,0,15,340,194,1554,117,1173,1005,3276,810,701,3109,2969,2892,3333,519,2759,2544,2472,4047,2334,4425,4606,4676,0,360,2196,1926,4887,1728,5320,5516,5571,0,5768,5949,0,6075,0,0,0,0
7,4,6435,0,0,0,0,165,45,600,9,300,216,1260,112,840,644,1960,36,469,357,1575,1330,1246,2450,210,1120,896,2275,756,2100,1995,2520,90,681,542,1925,1685,1600,2660,1465,2660,2620,2600,2100,348,1449,1204,2604,1044,2490,2410,2520,2336,2276,2716,2790,2810,1320,180,945,780,2319,2102,2022,2842,1885,2957,2980,2980,1830,1728,3021,3024,2124,3027,2279,2350,2370,495,535,1836,1577,2956,1398,2937,2899,2424,2857,2819,2747,2904,2965,825,2736,3072,3219,3260,1035,3346,1161,1230,1260,0,315,1270,1080,2766,2590,2521,3005,2383,3290,3409,3440,1365,2214,3537,3626,1701,3684,1896,1995,2025,0,3726,3774,2106,2331,2430,0,2556,2625,0,0,0,0,0,780,2290,2024,3340,1827,3450,3471,2241,3462,3452,2772,3066,3195,0,3375,3402,3726,3825,0,4020,0,0,0,0,3240,4131,4455,0,4680,0,0,0,0,0,0,0,0,0,0,0,0
7,5,6435,0,0,495,165,1320,810,2100,468,1680,1512,2520,1218,2380,2254,2450,882,2079,1953,2625,2660,2660,1960,1692,2645,2605,2345,2565,2535,2610,1260,1380,2490,2415,2670,2805,2840,1680,2900,1930,2060,2100,600,2205,2868,2923,2153,2943,2415,2530,900,2662,2737,1097,1215,1270,165,1935,2886,2871,2628,2863,2933,1313,3053,1573,1715,1760,285,3168,1857,1989,369,2076,424,455,465,0,2730,3022,3181,1847,3270,2163,2309,489,2483,2584,628,714,755,0,2772,798,894,925,0,980,0,0,0,0,2520,3240,3294,2472,2807,2912,832,3101,1057,1184,1225,0,3294,1323,1450,0,1536,0,0,0,0,1620,1716,0,0,0,0,0,0,0,0,0,0,0,3240,3080,3352,1400,3519,1752,1920,0,2145,2272,0,0,0,0,2538,0,0,0,0,0,0,0,0,0,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,6435,0,1287,2376,2244,2772,2898,2520,2898,2898,3024,1890,3164,2366,2604,1176,3276,2828,2982,1596,1848,1932,588,3201,2082,2325,867,2484,1053,1146,216,3405,2589,2758,1237,1459,1533,349,1662,444,501,520,45,3036,1695,1924,550,2079,684,751,81,828,876,108,126,135,0,3312,2208,2379,840,1014,1072,144,1179,189,216,225,0,1296,243,270,0,288,0,0,0,0,2696,1232,1428,252,1566,324,360,0,405,432,0,0,0,0,486,0,0,0,0,0,0,0,0,0,3024,1712,1872,432,540,576,0,648,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,720,864,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,6435,6435,5148,3564,4026,2178,2682,1170,3060,1548,1674,540,1940,764,876,204,2241,1037,1128,309,372,393,57,1329,453,525,93,576,117,129,9,1560,636,697,148,181,192,16,213,21,24,25,0,840,228,268,28,297,36,40,0,45,48,0,0,0,0,1008,336,372,48,60,64,0,72,0,0,0,0,81,0,0,0,0,0,0,0,0,464,80,96,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,128,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,45,0,9,1,0,1287,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,1,0,0,165,0,0,45,9,1,0,3003,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,45,0,9,1,0,1287,0,0,0,9,0,1,0,0,495,0,0,165,0,45,9,1,6435
8,2,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,1,56,0,0,0,15,0,9,9,216,0,0,0,2,1,1,84,0,50,45,45,600,0,0,0,22,0,10,9,300,2,1,196,169,165,1320,0,0,0,3,1,1,112,0,57,46,45,810,0,18,10,594,3,518,498,495,2376,0,0,0,29,0,11,9,384,2,1,224,176,166,1782,0,92,54,47,1482,19,1350,1302,1289,3432,0,0,0,4,1,1,140,0,64,47,45,1020,0,19,10,678,3,546,505,497,3300,3,1,336,211,175,3168,91,63,3078,3030,3010,3005,3432,0,0,0,36,0,12,9,468,2,1,252,183,167,2244,0,99,55,47,1692,19,1434,1330,1297,5148,0,27,11,972,3,658,541,513,5940,331,219,6270,135,6390,6426,6434,0
8,3,6435,0,0,0,0,0,0,0,0,0,0,36,0,8,8,196,0,1,1,77,56,56,588,0,21,15,315,9,231,216,1260,0,3,2,133,89,84,840,55,665,610,600,2100,0,39,23,469,12,337,304,1680,227,204,1456,1358,1326,2772,0,6,3,204,127,114,1162,70,924,836,816,2646,36,696,620,2520,564,2436,2394,2382,2772,0,62,32,658,15,458,398,2226,286,246,1974,1848,1800,3234,150,1680,1548,1512,3402,1428,3444,3444,3438,1716,0,10,4,290,170,146,1554,86,1218,1078,1042,3402,42,868,740,3402,648,3360,3326,3314,2640,522,430,3318,3242,3202,3102,3160,3132,3312,3396,3424,3430,0,0,90,42,882,18,594,498,2898,350,290,2562,2374,2294,4026,174,2080,1846,1778,4698,1624,4992,5104,5138,0,90,1440,1178,5454,984,5776,5894,5922,0,6104,6216,0,6300,0,0,0,0
8,4,6435,0,0,0,0,0,0,120,0,36,36,504,8,252,196,1176,1,98,77,777,623,588,1960,27,434,330,1575,261,1365,1280,2520,5,192,143,1120,915,860,2380,740,2240,2150,2120,2520,61,676,516,2044,411,1828,1728,2772,1602,1532,2828,2814,2794,1848,15,325,240,1548,1295,1220,2828,1067,2772,2709,2684,2394,909,2667,2599,2646,2556,2744,2773,2778,792,115,989,763,2604,612,2414,2312,2940,2185,2108,3164,3235,3249,1254,1947,3361,3417,3426,1506,3468,1632,1688,1708,0,35,505,375,2077,1776,1680,3332,1481,3445,3454,3448,1968,1263,3496,3485,2346,3480,2528,2604,2624,0,3480,3460,2780,2982,3058,0,3184,3240,0,0,0,0,0,195,1385,1081,3277,873,3141,3048,3060,2903,2816,3620,3878,3974,0,2589,4256,4534,4610,0,4792,0,0,0,0,2295,4968,5246,0,5448,0,0,0,0,0,0,0,0,0,0,0,0
8,5,6435,0,0,0,0,330,120,1050,36,630,504,1890,308,1470,1246,2450,140,1001,847,2275,2100,2030,2450,588,1925,1715,2625,1575,2625,2590,1890,340,1455,1290,2625,2535,2490,2310,2435,2485,2540,2550,1050,980,2411,2251,2681,2136,2805,2830,1470,2899,2914,1694,1800,1840,330,660,2000,1845,2916,2953,2948,1988,2960,2248,2360,2390,540,2952,2514,2616,666,2688,736,770,780,0,1500,2920,2854,2570,2793,2838,2936,876,3092,3160,1072,1176,1220,0,3312,1302,1416,1450,0,1520,0,0,0,0,1120,2640,2520,3120,3338,3392,1408,3512,1708,1856,1900,0,3618,2052,2200,0,2304,0,0,0,0,2430,2544,0,0,0,0,0,0,0,0,0,0,0,2160,3440,3520,2240,3546,2688,2880,0,3180,3328,0,0,0,0,3672,0,0,0,0,0,0,0,0,0,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,6435,0,0,792,330,1848,1302,2520,882,2268,2142,2520,1890,2660,2660,1960,1554,2639,2597,2345,2506,2548,1176,2466,2675,2785,1575,2853,1791,1884,504,2250,2889,2932,2035,2261,2328,756,2461,911,994,1020,120,2946,2517,2717,1107,2850,1311,1404,204,1525,1592,260,294,310,0,2880,2952,3075,1572,1819,1896,344,2050,434,484,500,0,2214,540,590,0,624,0,0,0,0,3252,2144,2402,574,2583,714,780,0,870,920,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,3360,2768,2960,944,1150,1216,0,1356,0,0,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3312,1520,1792,0,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,6435,0,1716,2772,2772,2772,3108,2100,3276,2604,2772,1260,3052,1708,1932,588,3332,2212,2380,868,1036,1092,196,2700,1236,1420,316,1548,396,436,36,3040,1680,1828,496,604,640,64,708,84,96,100,0,2144,752,880,112,972,144,160,0,180,192,0,0,0,0,2496,1088,1200,192,240,256,0,288,0,0,0,0,324,0,0,0,0,0,0,0,0,1472,320,384,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792,512,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,6435,6435,4719,2871,3333,1485,1905,645,2241,897,981,225,1177,337,393,57,1408,484,533,92,113,120,8,654,144,170,14,189,18,20,0,800,216,240,24,30,32,0,36,0,0,0,0,304,40,48,0,54,0,0,0,0,0,0,0,0,0,384,64,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,220,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,10,0,1,0,0,715,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,220,0,0,0,0,0,55,0,0,10,1,0,0,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,10,0,1,0,0,715,0,0,0,1,0,0,0,0,220,0,0,55,0,10,1,0,5005
9,2,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,1,54,0,0,0,0,0,0,15,0,10,10,10,225,0,0,0,2,0,1,1,90,0,0,59,55,55,660,0,0,0,0,0,0,23,0,11,10,10,345,0,2,1,246,0,223,220,220,1485,0,0,0,3,0,1,1,126,0,0,67,56,55,990,0,20,11,10,795,2,732,717,715,2574,0,0,0,0,0,0,31,0,12,10,10,465,0,2,1,282,0,231,221,220,2277,0,0,111,65,56,2112,20,12,2037,2010,2003,2002,3003,0,0,0,4,0,1,1,162,0,0,75,57,55,1320,0,21,11,10,915,2,768,725,716,4290,0,3,1,438,0,275,230,222,4785,110,66,4950,30,4995,5004,5005,0
9,3,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,7,7,7,168,0,1,1,69,1,54,54,540,0,0,0,20,15,15,300,10,235,225,225,1200,0,3,2,131,1,94,90,840,63,59,704,666,660,1980,0,0,0,39,24,23,488,12,374,348,345,1710,4,272,249,1566,229,1506,1488,1485,2376,0,6,3,214,1,140,127,1266,79,69,1074,1008,992,2574,31,876,812,799,2604,751,2592,2580,2575,1716,0,0,0,64,34,31,732,14,534,477,467,2472,4,345,294,2370,253,2310,2285,2279,2508,169,131,2220,2147,2121,2838,2073,2053,2958,2994,3002,3003,0,0,10,4,318,1,192,165,1818,96,79,1500,1371,1331,3630,34,1113,969,935,4080,831,4236,4280,4289,0,10,655,503,4566,385,4730,4775,4783,0,4895,4939,0,4975,0,0,0,0
9,4,5005,0,0,0,0,0,0,0,0,0,0,84,0,28,28,392,0,7,7,203,168,168,980,1,84,69,665,54,560,540,1680,0,25,20,385,310,300,1400,245,1260,1210,1200,2100,4,178,135,1036,102,888,846,2100,748,716,2044,2002,1984,1848,0,58,41,650,520,494,1918,406,1792,1732,1716,2226,324,1648,1590,2352,1548,2380,2380,2378,924,10,320,231,1540,168,1354,1287,2520,1161,1110,2590,2590,2581,1386,975,2632,2623,2616,1596,2616,1680,1708,1715,0,0,110,72,1018,809,758,2590,616,2548,2504,2488,2058,474,2462,2411,2352,2376,2464,2499,2506,0,2334,2290,2674,2793,2828,0,2912,2940,0,0,0,0,0,20,520,362,2212,255,1979,1877,3024,1688,1602,3430,3577,3619,0,1362,3871,4025,4060,0,4172,0,0,0,0,1080,4347,4501,0,4620,0,0,0,0,0,0,0,0,0,0,0,0
9,5,5005,0,0,0,0,0,0,210,0,84,84,756,28,462,392,1470,7,238,203,1155,1015,980,1960,99,805,685,1855,600,1750,1695,1890,35,480,405,1610,1465,1420,2100,1330,2135,2120,2110,1260,235,1249,1094,2191,984,2162,2127,1638,2113,2088,1792,1841,1851,462,105,835,720,2106,2004,1964,2044,1897,2191,2229,2234,714,1815,2327,2360,840,2388,896,917,922,0,465,1811,1652,2415,1533,2523,2540,1092,2610,2622,1274,1351,1377,0,2676,1477,1559,1580,0,1636,0,0,0,0,245,1335,1185,2635,2657,2648,1652,2653,1911,2014,2040,0,2637,2196,2299,0,2376,0,0,0,0,2502,2584,0,0,0,0,0,0,0,0,0,0,0,825,2515,2399,2471,2292,2833,2962,0,3221,3324,0,0,0,0,3609,0,0,0,0,0,0,0,0,0,3915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,5005,0,0,0,0,462,210,1260,84,882,756,1890,532,1680,1526,1960,308,1351,1225,2065,2030,2002,1470,980,2030,1946,1785,1890,1890,1911,756,700,1841,1750,2065,2135,2142,1050,2191,1190,1246,1260,210,1540,2254,2275,1414,2289,1575,1631,336,1736,1778,406,441,455,0,1260,2296,2275,1834,2002,2044,532,2156,637,686,700,0,2268,756,805,0,840,0,0,0,0,2170,2268,2415,833,2520,987,1050,0,1155,1204,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,1960,2632,2716,1288,1505,1568,0,1722,0,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,1960,2240,0,2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,5005,0,0,924,462,1848,1470,2100,1134,2100,2058,1680,1974,1960,2044,980,1806,2177,2219,1295,1442,1484,392,2294,1651,1793,581,1893,687,734,84,2310,2015,2116,841,975,1016,140,1103,175,194,200,0,2330,1181,1331,231,1440,285,310,0,345,364,0,0,0,0,2520,1592,1717,376,455,480,0,534,0,0,0,0,594,0,0,0,0,0,0,0,0,2024,600,704,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2352,928,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,5005,0,1716,2376,2508,1980,2370,1200,2628,1596,1728,540,2000,788,912,168,2300,1100,1204,268,328,348,28,1443,414,487,49,540,63,70,0,1720,612,678,84,105,112,0,126,0,0,0,0,848,140,168,0,189,0,0,0,0,0,0,0,0,0,1056,224,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,5005,5005,3289,1705,2035,715,955,235,1159,343,379,55,471,87,103,7,584,132,147,12,15,16,0,188,20,24,0,27,0,0,0,240,32,36,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,0,0,0,11,0,0,1,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,286,0,0,0,0,0,0,0,0,66,0,0,11,0,1,0,0,3003
10,2,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,1,1,50,0,0,0,0,0,0,0,15,0,0,11,11,11,220,0,0,0,0,0,0,2,0,1,1,1,95,0,0,0,69,0,66,66,66,660,0,0,0,0,0,0,0,24,0,0,12,11,11,385,0,2,1,1,305,0,288,286,286,1430,0,0,0,0,0,0,3,0,1,1,1,140,0,0,0,78,0,67,66,66,1155,0,0,22,12,11,1045,2,1,1010,1002,1001,1001,2002,0,0,0,0,0,0,0,33,0,0,13,11,11,550,0,2,1,1,350,0,297,287,286,2717,0,0,0,132,0,77,67,66,2937,22,12,2992,3,3002,3003,3003,0
10,3,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6,0,6,6,135,0,0,0,1,1,1,60,1,50,50,50,450,0,0,0,19,0,15,15,270,11,11,226,220,220,990,0,0,0,3,2,2,127,1,98,95,95,765,0,72,69,684,66,663,660,660,1485,0,0,0,39,0,25,24,489,13,12,405,387,385,1485,3,324,307,305,1455,290,1437,1431,1430,1287,0,0,0,6,3,3,222,1,153,141,140,1290,0,90,79,1197,69,1164,1156,1155,1782,33,24,1089,1054,1046,1947,1019,1012,1992,2001,2002,2002,0,0,0,0,66,0,36,33,792,15,13,612,561,551,2442,3,414,361,352,2652,309,2706,2716,2717,0,0,198,144,2871,99,2926,2936,2937,0,2981,2991,0,3000,0,0,0,0
10,4,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,21,21,21,280,0,6,6,155,6,135,135,720,0,1,1,70,60,60,520,50,460,450,450,1200,0,23,19,324,15,276,270,1080,232,226,1016,994,990,1320,0,4,3,162,130,127,872,101,790,768,765,1470,78,708,687,1494,669,1490,1486,1485,792,0,56,40,598,27,510,491,1524,425,409,1508,1492,1486,1122,345,1480,1462,1457,1242,1445,1278,1286,1287,0,0,10,6,312,236,224,1406,167,1330,1299,1292,1572,114,1239,1207,1728,1182,1772,1781,1782,0,1134,1107,1892,1937,1946,0,1982,1990,0,0,0,0,0,0,110,70,1012,42,852,804,2178,675,634,2378,2431,2441,0,489,2587,2641,2650,0,2694,0,0,0,0,330,2805,2859,0,2904,0,0,0,0,0,0,0,0,0,0,0,0
10,5,3003,0,0,0,0,0,0,0,0,0,0,126,0,56,56,490,0,21,21,315,280,280,980,6,175,155,805,135,735,720,1260,1,80,70,595,530,520,1260,470,1225,1205,1200,1050,27,382,330,1169,288,1107,1084,1260,1042,1024,1316,1323,1321,462,6,200,168,981,898,878,1442,818,1477,1475,1472,672,756,1503,1500,756,1500,784,791,792,0,76,712,622,1547,552,1545,1532,966,1532,1522,1078,1113,1121,0,1512,1197,1233,1240,0,1268,0,0,0,0,21,411,342,1503,1445,1424,1372,1379,1519,1562,1570,0,1323,1674,1717,0,1752,0,0,0,0,1836,1872,0,0,0,0,0,0,0,0,0,0,0,171,1211,1081,1925,972,2115,2166,0,2313,2356,0,0,0,0,2511,0,0,0,0,0,0,0,0,0,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,3003,0,0,0,0,0,0,252,0,126,126,756,56,546,490,1176,21,350,315,1071,1001,980,1176,195,896,820,1281,765,1281,1266,756,100,675,615,1316,1286,1270,966,1255,1036,1051,1052,252,450,1257,1201,1190,1161,1254,1264,378,1313,1322,434,455,461,0,285,1095,1035,1401,1448,1452,560,1489,637,664,670,0,1521,720,747,0,768,0,0,0,0,855,1555,1573,819,1587,923,956,0,1033,1060,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,630,1590,1575,1182,1319,1352,0,1456,0,0,0,0,1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,1682,1852,0,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
